HMGN5-M
EBP-M
UBL4A-M
WDR13-M
MTM1-M
BCOR-M
ZCCHC12-M
FTHL17-M
PORCN-M
NAA10-M
DOCK11-M
PDK3-M
LONRF3-M
PCYT1B-M
UBE2A-M
TAF9B-M
STARD8-M
BCOR-M
ZIC3-M
IL1RAPL2-M
TMSB4X-M
CLCN5-M
UXT-M
NPHP4-M
MAEL-M
NR5A2-M
PINK1-M
C1orf114-M
TNNT2-M
ZNF362-M
DSTYK-M
FAIM3-M
ESPN-M
CROCCL1-M
NBL1-M
PRDM16-M
PRPF38B-M
SNX7-M
HEYL-M
FDPS-M
PUM1-M
ARF1-M
KIF26B-M
C1orf63-M
SMCP-M
NME7-M
C1orf74-M
METTL13-M
PPP1R12B-M
PDE4B-M
WARS2-M
CSDE1-M
CASP9-M
SLC16A1-M
LOC441869-M
C1orf228-M
YY1AP1-M
PAX7-M
NHLH2-M
OLFM3-M
PRDM16-M
NPHP4-M
RNF220-M
SDCCAG8-M
ACOT7-M
MARCKSL1-M
PUSL1-M
SLC45A1-M
MEF2D-M
TMEM125-M
C1orf55-M
NID1-M
LOC148709-M
SLC41A1-M
CCDC19-M
CLIC4-M
C1orf35-M
HIST3H2BB-M
NOC2L-M
PIGV-M
DLGAP3-M
AK2-M
THRAP3-M
TROVE2-M
FAM89A-M
TMCC2-M
PRDM2-M
C1orf35-M
SAMD11-M
KIF2C-M
SPSB1-M
RNF220-M
CHRNB2-M
DMRTA2-M
ROR1-M
ZNF692-M
KDM4A-M
TNFRSF1B-M
TPM3-M
PTPRU-M
NFIA-M
ADIPOR1-M
KHDRBS1-M
FAM76A-M
WDR77-M
SUSD4-M
SSBP3-M
CCNL2-M
C1orf66-M
ADORA1-M
C1orf25-M
RTCD1-M
ADC-M
IRF2BP2-M
KIF2C-M
CDC73-M
CHD5-M
PRDM16-M
CLK2-M
CYP4X1-M
TLR5-M
ADORA1-M
LAMB3-M
CNIH3-M
F11R-M
TMEM82-M
ESPN-M
GSTM3-M
ORC1L-M
CLSTN1-M
INPP5B-M
CNKSR1-M
CRCT1-M
F3-M
TMEM88B-M
WDR8-M
MORN1-M
CNST-M
EXO1-M
SPAG17-M
RCAN3-M
IL12RB2-M
DEPDC1-M
SPEN-M
NADK-M
TSTD1-M
PTCH2-M
ROCK2-M
WNT6-M
ARPC2-M
DYSF-M
GYPC-M
TBR1-M
ARHGEF4-M
NOL10-M
PROM2-M
HOXD8-M
MOGS-M
OBSL1-M
RBM45-M
HOXD13-M
CCDC138-M
TPO-M
MKI67IP-M
SGPP2-M
TMEM177-M
MAP2-M
SCLY-M
CYP20A1-M
AGAP1-M
WDR69-M
ERLEC1-M
NEURL3-M
ODC1-M
ALK-M
UGP2-M
ZNF142-M
MOBKL3-M
BIN1-M
NMI-M
SIX3-M
ACP1-M
ATG9A-M
CMPK2-M
LOC100130691-M
ERLEC1-M
HPCAL1-M
HDAC4-M
C2orf15-M
SP9-M
WNT10A-M
TCF7L1-M
MYT1L-M
AGAP1-M
TTL-M
LOC100132215-M
CCDC150-M
GREB1-M
LHCGR-M
MIR375-M
DNMT3A-M
PGAP1-M
C2orf42-M
TMBIM1-M
HPCAL1-M
NR4A2-M
TAF1B-M
WDR75-M
MATN3-M
LY75-M
ACADL-M
SLC9A2-M
COLEC11-M
ALMS1-M
HDLBP-M
ANO7-M
BOK-M
MYT1L-M
REL-M
RTKN-M
MOBKL1B-M
CTDSP1-M
EPAS1-M
RNPEPL1-M
RBMS1-M
MRPS25-M
TRANK1-M
ZIC4-M
DLEC1-M
CTNNB1-M
TTLL3-M
CTDSPL-M
SLITRK3-M
KY-M
KIAA0226-M
FYTTD1-M
C3orf71-M
STXBP5L-M
FHIT-M
NCBP2-M
FLNB-M
NISCH-M
GP9-M
PPM1L-M
SHOX2-M
ANO10-M
ENTPD3-M
FSTL1-M
KIAA0226-M
WDR51A-M
FAIM-M
C3orf54-M
CCDC48-M
RFT1-M
TEX264-M
CLSTN2-M
FLNB-M
MRPL3-M
ZIC4-M
COL7A1-M
SLC6A1-M
FAM43A-M
C3orf24-M
ZMAT3-M
C3orf21-M
AMOTL2-M
ATG7-M
DIRC2-M
PLCXD2-M
GPR128-M
LOC285370-M
FBLN2-M
ZBTB11-M
CAND2-M
BSN-M
NMD3-M
P4HTM-M
PLXNA1-M
PCYT1A-M
UBP1-M
RPL22L1-M
TRANK1-M
KY-M
VWA5B2-M
DAG1-M
SLC2A9-M
C4orf44-M
FGFRL1-M
ENOPH1-M
TRPC3-M
PPM1K-M
ANAPC4-M
D4S234E-M
SNCA-M
CCDC109B-M
CAMK2D-M
TBC1D1-M
C4orf49-M
KLHL5-M
TMEM33-M
RASSF6-M
DCLK2-M
AGPAT9-M
SGMS2-M
N4BP2-M
ABLIM2-M
WHSC1-M
MXD4-M
CEP135-M
PAQR3-M
GAK-M
CYP4V2-M
TLR3-M
HSD17B11-M
C4orf36-M
HELQ-M
OCIAD2-M
ATOH1-M
UNC5A-M
PURA-M
ANKH-M
GABRA1-M
BTNL9-M
SQSTM1-M
ZNF131-M
CSNK1G3-M
EGFLAM-M
EIF4EBP3-M
H2AFY-M
ADAMTS16-M
MTRR-M
ADAMTS2-M
SLC12A7-M
SRP19-M
DHX29-M
PCDHGB5-M
FLJ11235-M
LMBRD2-M
MIR886-M
